Goal;Target;Indicator;SeriesCode;SeriesDescription;GeoAreaCode;GeoAreaName;Reporting Type;Units;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);208;Denmark;G;PERCENT;10.73;11.12;11.86;12.72;14.44;16.12;15.26;17.69;18.54;19.33;21.2;23.83;26.93;27.05;30.19;32.53;31.95;35.02;34.56;37.25;39.45;39.52;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);514;Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand);G;PERCENT;7.09;6.75;6.83;7.03;7.26;7.64;8.01;8.34;8.81;9.46;9.65;10.06;10.58;11.09;11.29;11.44;11.67;11.95;12.27;12.63;13.77;13.57;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);515;Developing regions;G;PERCENT;32.25;31.63;31.05;29.94;28.19;26.74;25.99;24.9;24.39;23.99;23;22.24;22.02;22.01;21.98;21.95;22.18;22.29;22.43;22.75;23.72;23.29;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);262;Djibouti;G;PERCENT;31.44;31.68;32.44;32.88;33.62;33.09;33.01;32.52;33.14;34.38;32.54;32.02;32.28;29.93;29.42;24.75;23.63;23.31;24.66;23.35;27.46;26.56;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);212;Dominica;G;PERCENT;11.06;9.41;13.6;10.56;11.4;10.02;9.82;7.75;7.96;7.48;10.28;13.8;11.33;11.41;9.86;8.68;10.74;9.66;7.89;7.62;8.58;8.83;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);214;Dominican Republic;G;PERCENT;19.11;18.89;17.94;18.94;20.67;19.44;17.98;17.89;17.68;17.34;16.91;16.75;16.48;16.55;17.28;14.88;15.31;16.87;15.95;14.4;15.97;14.82;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);14;Eastern Africa;G;PERCENT;87.93;88.17;88.52;88.91;88.91;88.75;88.29;87.98;88.23;88.09;87.34;87.11;86.31;85.77;85.2;84.34;83.64;83.74;83.19;82.85;84.22;82.92;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);753;Eastern and South-Eastern Asia;G;PERCENT;23.13;22.4;21.72;20.32;18.34;16.76;16.22;15.28;14.98;14.44;13.5;12.82;12.91;12.84;13.24;13.06;13.37;13.68;13.87;14.28;14.87;15.12;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);30;Eastern Asia;G;PERCENT;19.83;19.15;18.5;17.06;15.17;13.6;13.09;12.11;11.72;11.31;10.5;9.88;10.1;10.15;10.68;10.97;11.32;11.8;12.22;12.93;13.61;13.95;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);151;Eastern Europe;G;PERCENT;4.29;4.34;4.33;4.23;4.52;4.77;4.76;5;5.03;5.63;5.72;5.64;5.83;6.36;6.16;6.3;6.47;6.39;6.79;7;7.62;7.39;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);218;Ecuador;G;PERCENT;19.43;17.06;17.1;16.55;16.73;16.16;14.19;15.88;15.32;12.87;11.79;13.15;13.2;11.85;12.18;13.07;14.75;17.05;16.33;17.73;20.22;18.9;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);818;Egypt;G;PERCENT;8.26;7.82;7.35;7.45;7.57;6.48;6.22;6.05;5.88;5.65;5.37;5.43;5.29;5.28;5.38;5.28;5.07;4.93;5.03;6.24;6.71;6.11;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);222;El Salvador;G;PERCENT;33.51;33.11;34.02;33.85;33.33;34.08;34.76;28.24;31.5;32.2;32.62;29.52;30.27;27.54;23.95;21.02;20.7;24.98;23.21;19.38;23.7;21.91;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);226;Equatorial Guinea;G;PERCENT;45.85;46.12;31.31;29.49;7.2;7.1;6.99;8.49;7.23;9.24;5.74;5.58;4.42;3.68;4.88;5.54;4.78;5.02;4.85;7.4;6.51;5.25;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);232;Eritrea;G;PERCENT;76.79;74.85;74.69;75.05;69.79;74.69;77.29;79.1;81.36;81.65;80.9;77.07;78.42;79.65;80.48;81.19;81.4;81.64;80.8;80.55;80.89;80.66;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);233;Estonia;G;PERCENT;19.76;18.85;19.34;19.88;20;18.9;17.22;18.65;20.54;24.21;25.32;25.16;24.96;24.47;25.29;28.17;27.23;27.52;28.59;31.31;40.44;37.98;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);748;Eswatini;G;PERCENT;60.06;60.87;63.59;66.49;66.55;67.03;66.76;66.91;67.84;66.66;68.49;69.26;68.78;66.06;68.35;68.85;64.3;65.35;65.72;64.45;63.74;65.4;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);231;Ethiopia;G;PERCENT;95.51;94.55;94.49;94.19;94.09;94.69;94.51;94.13;94.06;94.17;94.11;93.55;93.26;92.45;91.45;91.5;90.45;90.77;89.97;89.29;90.72;90.63;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);150;Europe;G;PERCENT;7.39;7.37;7.29;7.36;7.68;8.15;8.45;9.19;9.66;10.57;10.98;10.94;11.9;12.56;12.82;13.15;13.19;13.33;13.9;14.32;15.74;15.32;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);513;Europe and Northern America;G;PERCENT;7.31;6.95;7;7.21;7.47;7.92;8.29;8.67;9.16;9.87;10.05;10.48;11.1;11.6;11.77;11.87;12.1;12.37;12.68;13.02;14.2;13.92;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);238;Falkland Islands (Malvinas);G;PERCENT;1.39;1.31;1.02;1.03;1.01;0.99;0.96;0.91;2.46;3.91;3.8;4.33;4.82;4.73;4.85;4.89;5.44;5.5;5.04;4.73;4.2;4.41;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);234;Faroe Islands;G;PERCENT;2.77;2.56;3.4;3.11;3.42;3.84;4.3;4.54;4.51;5.12;3.38;5;4.7;4.53;6.54;7.47;6.32;5.97;5.86;5.4;5.28;5.08;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);242;Fiji;G;PERCENT;50.06;40.44;48.98;40.83;35.72;40.02;39.07;36.04;42.13;41.62;27.95;33.38;33.26;32.81;33.17;32.74;27.68;28.55;25.8;26.48;31.79;29.7;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);246;Finland;G;PERCENT;31.68;29.25;29.52;28.35;31.1;31.52;31.25;31.8;34.61;32.46;33.42;35.12;38.7;38.52;41.25;43.23;42.37;44.35;44.25;45.39;47.3;50.22;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);250;France;G;PERCENT;9.27;9.4;8.68;8.85;8.9;8.61;8.47;9.39;10.54;11.25;11.93;10.64;12.34;13.41;13.15;13.29;14.22;14.08;15.17;15.48;16.81;16.25;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);254;French Guiana;G;PERCENT;23.84;25.92;30.37;22.96;26.4;28.5;33.88;30.67;35.05;25.89;29.4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);258;French Polynesia;G;PERCENT;8.79;6.74;6.22;7.19;7.71;7.98;10.1;9.76;9.33;9.32;7.47;6.89;6.64;6.49;7.45;7.83;8.08;8.07;7.71;7.65;8.24;7.44;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);266;Gabon;G;PERCENT;72.78;72.42;79.82;83.63;85.78;85.25;86.16;87.35;87.32;87.94;85.83;79.7;75.48;82.18;81.29;81.94;81.49;90.25;90.29;90.23;91.26;91.27;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);270;Gambia;G;PERCENT;62.86;59.61;60.97;62.41;61.25;61.71;60.21;57.27;56.28;53.91;56.6;56.24;56.95;59.33;53.17;48.95;48.62;48.02;48.14;47.39;49.8;48.58;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);268;Georgia;G;PERCENT;47.25;53.15;56.76;55.33;54.53;41.48;37.22;36.22;36.3;36.72;39.15;31.53;28.69;32.41;30.69;27.54;27.18;27.52;27.37;24.69;23.45;25.18;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);276;Germany;G;PERCENT;3.7;3.9;4.41;5.44;6.34;7.28;8.59;10.47;10.25;10.72;11.61;12.54;13.64;13.63;14.02;14.55;14.24;15.22;16.04;17.07;18.52;17.61;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);288;Ghana;G;PERCENT;71.62;69.32;65.68;64.47;62.38;61.43;58.56;54.53;57.34;51.9;51.91;50.09;46.5;46.19;47.69;44.02;45.22;45.28;42.13;42.6;39.99;39.05;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);292;Gibraltar;G;PERCENT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);300;Greece;G;PERCENT;7.82;7.11;7.33;7.6;7.85;8.01;8.51;8.05;8.32;9.18;11.38;11.38;14.17;16.61;16.41;17.47;16.42;16.4;17.87;18.54;20.09;21.47;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);304;Greenland;G;PERCENT;9.19;8.73;9.48;9.47;6.7;6.99;7.1;6.89;6.87;8.8;10.08;10.2;10.05;11.15;12.48;13.1;12.37;11.35;11.4;10.87;11.8;11.64;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);308;Grenada;G;PERCENT;10.49;10.42;10.47;10.43;10.56;10.58;10.37;9.89;10.75;10.52;10.82;11.37;11.48;10.83;10.96;10.54;10.42;10.19;10.69;10.37;10.34;10.22;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);312;Guadeloupe;G;PERCENT;2.56;2.43;2.77;2.83;3.26;4.18;3.89;4.22;4.23;3.71;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);316;Guam;G;PERCENT;0.41;0.41;0.45;0.5;0.46;0.45;0.45;0.45;0.45;0.46;0.47;0.49;0.53;0.59;0.67;2.32;4.38;3.9;4.49;4.47;4.58;4.5;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);320;Guatemala;G;PERCENT;62.66;61.26;63.76;64.29;66.1;65.24;64.73;63.28;66.51;65.27;67.08;67.09;67.36;67.19;66.25;63.29;63.24;64.99;64.02;62.82;65.46;62.13;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);831;Guernsey;G;PERCENT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.07;1.59;1.47;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);324;Guinea;G;PERCENT;85.52;84.84;84.27;83.47;83.19;81.56;81.06;80.36;80.15;79.25;75.71;74.75;76.36;78.53;78.57;76.23;75.29;71.96;73.22;68.27;65.8;66.85;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);624;Guinea-Bissau;G;PERCENT;91.24;91.21;91.04;89.05;88.55;88.53;88.29;87.9;88.42;87.89;87.81;87.87;87.81;87.71;87.28;87.15;86.77;86.75;86.59;86.2;87.22;87.37;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);328;Guyana;G;PERCENT;30.42;31.03;34.24;34.65;35.51;34.69;36.82;33.14;32.57;31.3;30.62;32.81;28.71;26.85;24.02;24.95;21.34;22.12;16.77;11.31;12.03;13.2;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);332;Haiti;G;PERCENT;80.85;80.88;79.08;79.02;81.11;81.11;81.37;79.26;79.64;80.33;78.99;79.01;82.19;80.39;77.77;76.12;76.13;76.17;76.25;76.37;76.35;76.72;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);340;Honduras;G;PERCENT;55.24;50.4;49.76;47.94;46.7;51.37;52.22;50.57;49.97;50.45;53.63;50.88;49.34;51.06;52.18;50.76;52.68;45.63;48.86;46.2;50.16;45.91;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);348;Hungary;G;PERCENT;5.17;5.12;5.17;5.01;4.63;7.29;7.86;9;8.96;12.29;13.46;14.74;16.47;17.18;15.72;15.6;15.34;14.55;13.6;13.64;14.76;15.3;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);352;Iceland;G;PERCENT;60.68;62.14;61.87;61.9;61.9;62.72;64.2;67.6;73.96;74.68;75.96;77.06;77.69;76.85;77.58;78.03;80.91;80.79;81.36;81.67;82.92;82.43;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);356;India;G;PERCENT;46.88;47.11;45.75;45.63;44.92;44.16;43.16;41.53;39.37;37.41;36.18;35.03;34.76;34.86;33.85;33.39;33;32.55;32.93;33.46;36.09;34.92;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);360;Indonesia;G;PERCENT;45.63;44.33;44.66;43;41.46;41.57;40.07;40.01;41.12;38.18;35.96;32.41;30.11;30.65;29.31;26.6;27.75;25.17;22.04;19.75;21.91;20.19;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);364;Iran (Islamic Republic of);G;PERCENT;0.44;0.52;0.67;0.83;0.74;1.4;1.4;1.3;0.7;0.78;0.9;0.92;0.93;0.99;0.93;0.91;1.04;0.98;1.04;0.96;0.92;0.91;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);368;Iraq;G;PERCENT;0.36;0.35;0.31;0.35;0.36;2.43;2.56;2;1.15;1.21;1.67;1.14;1.3;1.46;1;0.82;0.87;0.53;0.46;0.92;1.11;1.1;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);372;Ireland;G;PERCENT;2.03;1.97;2.25;2.01;2.31;2.89;3.23;3.55;4.19;5.29;5.29;6.96;6.9;7.71;8.78;9.52;8.61;10.11;10.83;12.33;13.67;12.69;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);833;Isle of Man;G;PERCENT;NaN;NaN;1.48;1.12;6.28;2.68;3.27;1.94;1.31;1.87;1.93;2.85;3.5;2.06;1.85;2.17;1.91;1.88;2.04;1.9;2.03;3.16;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);376;Israel;G;PERCENT;5.96;6.3;6.5;6.52;6.73;7.03;6.86;6.72;8.9;8.46;8.55;9.08;2.88;3.27;3.7;3.74;3.99;3.89;3.84;4.49;5.61;6.2;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);380;Italy;G;PERCENT;5.12;5.38;5.6;6.24;5.94;6.7;7.51;8.73;10.82;12.54;12.79;11.9;14.39;16.32;17.13;16.57;16.09;16.43;17.08;17.27;18.69;17.54;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);388;Jamaica;G;PERCENT;9.34;7.91;8.03;8.14;6.36;5.39;4.79;5.31;5.93;7.42;8.9;9.84;12.16;11.39;11.88;12.12;11.13;10.98;8.88;9.2;11.74;10.49;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);392;Japan;G;PERCENT;3.7;3.5;3.71;4.19;4.26;4.01;4.43;4.28;4.44;4.51;4.66;4.82;4.68;5.05;5.57;6.16;6.38;6.92;7.26;7.77;8.48;8.84;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);832;Jersey;G;PERCENT;0;0;4.2;11.58;5.36;7.46;7.36;2.78;7.34;4.3;4.44;14.89;6.89;3.89;6.34;15.9;12.4;17.27;17.73;18.17;19.61;18.74;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);400;Jordan;G;PERCENT;2.09;2.12;2.09;1.98;1.83;1.69;2.28;2.32;2.74;2.78;2.95;3;2.91;3.12;3.1;3.19;4.67;5.26;7.17;8.46;10.65;11.5;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);398;Kazakhstan;G;PERCENT;2.5;2.41;2.77;2.28;1.89;2.09;2.13;1.83;1.15;1.31;1.38;1.38;1.33;1.16;1.34;1.72;2.07;2.01;1.88;1.85;1.78;1.99;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);404;Kenya;G;PERCENT;76.82;78.32;78.8;81.62;80.31;79.21;77.61;78.15;78.15;75.64;74.05;74.67;76.15;74.31;71.85;69.25;68.27;68.07;68.66;68.13;69.04;67.67;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);296;Kiribati;G;PERCENT;54.73;56.39;53.05;50.52;50.55;48.51;48.12;48.42;49.74;50.44;50.14;50.52;48.73;46.16;47.98;47.48;48.1;42.51;42.31;42.19;42.24;42.23;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);412;Kosovo;G;PERCENT;28.27;23.91;24.09;23.8;24.11;22.9;22.13;21.18;20.56;20.85;20.82;19.75;20.89;20.93;21.38;20.37;26.52;25.26;27;26.09;25.91;23.99;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);414;Kuwait;G;PERCENT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.01;0.02;0.03;0.06;0.09;0.07;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);417;Kyrgyzstan;G;PERCENT;35.16;36;28.3;30.51;27.71;28.03;27.76;24.49;22.04;24.73;25.59;25.95;22.45;24.81;26.6;23.51;22.16;24.73;23.39;28.31;30.04;27.63;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);432;Landlocked developing countries (LLDCs);G;PERCENT;43.28;43.69;44;43.9;43.39;43.43;43.15;41.74;40;43.1;41.99;40.78;42.09;42.96;44.32;45.3;45.05;44.75;44.33;44.67;44.68;44.03;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);418;Lao People's Democratic Republic;G;PERCENT;81.54;81.09;80.19;78.74;73.98;73.93;69.81;70.67;69.27;66.45;64.85;63.63;62.36;58.57;58.25;53.27;51.7;50.58;50.21;50.52;50.62;51.53;;;;;;;;;;;;;;;;;;;;;
